"Ensembl_ID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","sig"
"ENSG00000202538.1",14.091054410594,-2.15135979746023,0.273204353350675,-7.87454435141749,3.41986879044474e-15,2.03323960296382e-12,"RNU4-2","Down"
"ENSG00000105675.9",3.76585473902862,-2.35742812038072,0.300154653011007,-7.8540448956301,4.0282998260085e-15,2.35975434219445e-12,"ATP4A","Down"
"ENSG00000151224.13",151.229845447387,-1.57510595097367,0.200617100945234,-7.85130451767246,4.11731882792985e-15,2.37694606075011e-12,"MAT1A","Down"
"ENSG00000133703.13",3472.25205640769,0.605592890740437,0.0771686455090113,7.84765479225262,4.23889064737737e-15,2.41217100068043e-12,"KRAS","Not significant"
"ENSG00000110680.13",9633.55071547206,3.18545792319221,0.406259812463583,7.84093780744742,4.47193900612759e-15,2.50894673760685e-12,"CALCA","Up"
"ENSG00000108370.17",247.462569438406,-0.772320700858876,0.0985689693559373,-7.83533302524437,4.67601673428859e-15,2.58700625824516e-12,"RGS9","Not significant"
"ENSG00000146411.6",231.36497439779,-1.18441907678064,0.151518046855873,-7.81701652943878,5.40900034568746e-15,2.95153588726184e-12,"SLC2A12","Down"
"ENSG00000175832.13",2327.84943796129,0.875157018883365,0.112207120746072,7.79947843830579,6.21635596543773e-15,3.34624761523306e-12,"ETV4","Not significant"
"ENSG00000243137.8",10.4630654097947,-3.8649388291284,0.495729305677,-7.79647034151066,6.36627762431394e-15,3.38125737182562e-12,"PSG4","Down"
"ENSG00000228271.2",12.4213076913695,2.37782939150182,0.306474753525275,7.75864688412489,8.58402867806803e-15,4.49916050476529e-12,"LINC02048","Up"
"ENSG00000251199.6",6.16171986422066,-2.29671339661676,0.297694522539975,-7.71500052140982,1.20981738651584e-14,6.25868386681456e-12,"AC015631.1","Down"
"ENSG00000169894.18",2630.79635232241,1.7053672610571,0.222605494642742,7.66093965377643,1.84577578402877e-14,9.42623494628233e-12,"MUC3A","Up"
"ENSG00000255129.6",5.11804848709109,-1.29440357015773,0.169343519153282,-7.64365578694569,2.11139388818605e-14,1.06462359673422e-11,"AP000880.1","Down"
"ENSG00000149294.17",215.76546855768,-1.40484676355718,0.183876903388281,-7.64014804290376,2.16972117616182e-14,1.08035841664037e-11,"NCAM1","Down"
"ENSG00000237515.9",12.321856574645,-2.37435671820238,0.310934606903698,-7.6361931592187,2.2373857962545e-14,1.1002966149136e-11,"SHISA9","Down"
"ENSG00000181433.9",9.23099640009916,-2.91547599259866,0.382158437332568,-7.62897193360017,2.36633143076504e-14,1.14951763674506e-11,"SAGE1","Down"
"ENSG00000135472.9",262.19487359679,1.42948934595035,0.187880524692059,7.60850198972628,2.77290988093861e-14,1.33079629153384e-11,"FAIM2","Up"
"ENSG00000182508.14",10.138156298342,-1.37861999604834,0.1815407568174,-7.59399718397673,3.10185141159107e-14,1.47094225153951e-11,"LHFPL1","Down"
"ENSG00000182632.15",10.3019702494781,-2.4364237086449,0.321665698543611,-7.57439702049726,3.60799456691236e-14,1.69083359503984e-11,"CCNYL2","Down"
"ENSG00000120875.9",5445.74580486057,1.17206472099046,0.154854469886108,7.56881426705018,3.76646201390907e-14,1.74457264955877e-11,"DUSP4","Up"
"ENSG00000257732.1",24.1794075321697,-1.75079533421228,0.231576144821823,-7.56034407412454,4.02004529248134e-14,1.84062625495059e-11,"AC089983.1","Down"
"ENSG00000077264.15",297.148258270384,1.53101951967481,0.203322326397177,7.53001181328246,5.07357324937305e-14,2.29659905472189e-11,"PAK3","Up"
"ENSG00000167355.8",7.21678731409581,-2.07219610568563,0.275569591525379,-7.51968348254703,5.4909009569015e-14,2.45062588601036e-11,"OR51B5","Down"
"ENSG00000184160.8",91.674332352533,1.26215880527277,0.167871676115911,7.51859297813457,5.5368863217586e-14,2.45062588601036e-11,"ADRA2C","Up"
"ENSG00000007306.15",213.618046551418,-1.79342731788077,0.238622853488414,-7.51573997068074,5.65899318110698e-14,2.47714653160676e-11,"CEACAM7","Down"
"ENSG00000248810.2",42.8314639980204,-1.4806992765013,0.197424399118755,-7.50008247770138,6.37776904430328e-14,2.76143534903018e-11,"LINC02432","Down"
"ENSG00000146857.4",10.0934043526723,-2.99528671928948,0.399926878236544,-7.48958592755013,6.90912386010023e-14,2.95933376175519e-11,"STRA8","Down"
"ENSG00000186152.6",15.7323856036524,2.22583431861428,0.297745670537179,7.47562278436671,7.6839075479131e-14,3.25617843897415e-11,"LILRP1","Up"
"ENSG00000179750.16",274.10566546086,-1.12697114166147,0.150796376204148,-7.47346302364571,7.81113955403416e-14,3.27525192626733e-11,"APOBEC3B","Down"
"ENSG00000226137.5",2910.19129175773,0.662653019767289,0.0890645347821331,7.44014462533544,1.00575128713199e-13,4.1732392470433e-11,"BAIAP2-DT","Not significant"
"ENSG00000265646.2",3.30607452549419,-2.03370960475303,0.273700131592346,-7.43042976604071,1.08245399947989e-13,4.44520336240019e-11,"TUFMP1","Down"
"ENSG00000216775.3",371.60481999908,-0.874712122267697,0.117853260658537,-7.42204430645367,1.15326217328017e-13,4.68765769494309e-11,"AL109918.1","Not significant"
"ENSG00000185247.15",9.63405028886091,-3.84071577772137,0.51889722744699,-7.4016887633375,1.344633629442e-13,5.41031676719117e-11,"MAGEA11","Down"
"ENSG00000122136.14",46.4683072469646,2.34551987227726,0.317041814653159,7.39814044668916,1.38104744624029e-13,5.45398365905773e-11,"OBP2A","Up"
"ENSG00000253632.1",7.91600848067808,1.65924641063849,0.224284157131545,7.39796529482608,1.38286978351366e-13,5.45398365905773e-11,"AC084026.2","Up"
"ENSG00000101098.13",57.7155096054466,-1.79154560275694,0.242998862693901,-7.37265015521373,1.67269024786588e-13,6.53234738563622e-11,"RIMS4","Down"
"ENSG00000105668.7",10.7136403846856,-1.8767930105214,0.255092299342264,-7.35730955172135,1.87653850695457e-13,7.21822825012154e-11,"UPK1A","Down"
"ENSG00000258986.7",51.5832933212291,-2.48964523439416,0.338416916220339,-7.35673991182281,1.88456027015273e-13,7.21822825012154e-11,"TMEM179","Down"
"ENSG00000009694.13",515.611426406852,1.71329003227063,0.23395357345199,7.32320522824676,2.42117084627894e-13,9.18523042768335e-11,"TENM1","Up"
"ENSG00000262117.5",13.169801548264,-2.87350801229626,0.392808727445622,-7.31528556145448,2.56834620602222e-13,9.65165120478201e-11,"BCAR4","Down"
"ENSG00000178233.18",4.42992638499292,-1.74988703247949,0.239551306440425,-7.30485280369232,2.77570437128889e-13,1.03334026098992e-10,"TMEM151B","Down"
"ENSG00000107295.10",33.9159231170963,-1.80447324439313,0.247231338696925,-7.29872375364676,2.90510076049275e-13,1.07149799716174e-10,"SH3GL2","Down"
