"Ensembl_ID","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","gene","sig"
"ENSG00000115386.6",69.8272562189552,-4.76276580945258,0.628865936835878,-7.57357893069596,3.63079937573457e-14,1.32904383564035e-11,"REG1A","Down"
"ENSG00000249379.2",25.4830848734749,-2.01522088522564,0.266923124409808,-7.54981753522288,4.35868456656473e-14,1.58057308287176e-11,"AL033397.2","Down"
"ENSG00000183566.10",8.96777510540754,-4.59439964737361,0.612292175740707,-7.50360665937897,6.20854207105991e-14,2.23053371202959e-11,"BPIFA4P","Down"
"ENSG00000188175.10",69.1452450084011,-2.75758079869105,0.367564646079103,-7.50230150833821,6.27069280678029e-14,2.23219405133837e-11,"HEPACAM2","Down"
"ENSG00000114638.8",184.367777528601,-3.47027192430867,0.463272056430355,-7.49078619385792,6.84622656873244e-14,2.40097880730911e-11,"UPK1B","Down"
"ENSG00000253665.1",122.603191726401,-3.28739015513283,0.438882917788104,-7.49035795628758,6.86860255177214e-14,2.40097880730911e-11,"LINC02866","Down"
"ENSG00000254166.3",139.440248839202,-2.29993002686759,0.307700604444142,-7.47457103967148,7.74560952390834e-14,2.68336959943899e-11,"CASC19","Down"
"ENSG00000125285.6",226.911273167598,-2.36587022778915,0.317276156682793,-7.4568169651478,8.8637701276156e-14,3.04356765240366e-11,"SOX21","Down"
"ENSG00000159409.15",113.573361139745,-2.54770717443287,0.341981606180171,-7.44983685786486,9.34557247072053e-14,3.15512727456496e-11,"CELF3","Down"
"ENSG00000205420.11",2862.83882237087,-2.96542323278619,0.398056419579441,-7.44975608211332,9.35129601234429e-14,3.15512727456496e-11,"KRT6A","Down"
"ENSG00000272636.4",738.153242889026,-1.4778692782946,0.198959571831993,-7.42798783032443,1.10262100116525e-13,3.68817219536319e-11,"DOC2B","Down"
"ENSG00000204936.10",208.21673086044,-2.30856699886706,0.311121859862267,-7.42013756246205,1.16998751085606e-13,3.88005858194238e-11,"CD177","Down"
"ENSG00000177699.4",28.4794615724257,1.76375149052162,0.238047918154752,7.40922879810706,1.27035975184867e-13,4.17722277385425e-11,"AC011944.1","Up"
"ENSG00000134962.7",136.477621970758,-1.93770149543723,0.261636401010995,-7.40608526928865,1.300822107184e-13,4.24144525889465e-11,"KLB","Down"
"ENSG00000162482.5",520.971512943695,-2.18776131048869,0.296332727855681,-7.3827866611958,1.55010306204026e-13,5.012129075852e-11,"AKR7A3","Down"
"ENSG00000233309.1",7.31426575561063,3.13034818419802,0.424092151548335,7.3812924213978,1.56760275821786e-13,5.02682269600093e-11,"RPS6P12","Up"
"ENSG00000094755.17",399.641059295451,-2.46018708897079,0.334013145863701,-7.36553970835241,1.76431598246136e-13,5.61124790454779e-11,"GABRP","Down"
